	All Space Questions thread for week of January 01, 2023	Scientists Worried Humankind Will Descend Into Chaos After Discovering First Contact	China Plans to Build Nuclear-Powered Moon Base Within Six Years	Why are astronauts' nametags on the left chest now, but used to be on the right side?	NASA And SpaceX Consider Daring Plan To ‘Reboost’ The Hubble Space Telescope	Namioka spaces and strongly Baire spaces	The Fock space as a de Branges-Rovnyak space	Admissibly Represented Spaces and Qcb-Spaces	On Multi-Vector Spaces	On Multi-Metric Spaces
additional	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
admissibly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15350567286626973	0.0	0.0
algebra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09210340371976183	0.0
also	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
analysis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
another	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
appears	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
approach	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
ask	0.11808128682020748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
astronauts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
away	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
baire	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
banach	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
basic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10233711524417982	0.0	0.0
betasigma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
brangesrovnyak	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
buried	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cases	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
categories	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
characteristics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
chest	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
classical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
closely	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116855762208991	0.0	0.0
color	0.0	0.0	0.0	0.0742769384836789	0.0	0.0	0.0	0.0	0.0	0.0
combining	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
comments	0.05904064341010374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
computable	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
concept	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026754951207243027	0.0	0.0
conception	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
conditions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128755032994728	0.12380291634108465
construction	0.0	0.0	0.0	0.0	0.0	0.0	0.06772309097041311	0.0	0.0	0.0
